"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"276",3,4,3,616.5,74.7,78.5,NA,194.2
"277",3,10,1,551.3,70.4,69.6,NA,NA
"278",3,10,2,491.7,60.5,56.5,134.3,NA
"279",3,10,3,632.3,83.6,84.5,NA,186.3
"280",3,22,1,533.3,72.4,63.8,NA,NA
"281",3,22,2,462.3,62.1,51.3,128.9,NA
"282",3,22,3,628,86.7,78,NA,187.8
"283",3,57,1,525.4,74.3,65.3,NA,NA
"284",3,57,2,448.5,61.9,56.5,114.6,NA
"285",3,57,3,614.6,88.9,74.4,NA,184.2
"286",3,106,1,495,63.5,57.6,NA,NA
"287",3,106,2,448.4,55.9,53.4,126,NA
"288",3,106,3,561.7,74.5,63.3,NA,159.1
"289",4,1,1,522,67.8,62.5,NA,NA
"290",4,1,2,458.6,59.7,50.7,126.1,NA
"291",4,1,3,606.8,79.1,76.3,NA,179.2
"292",4,4,1,512,62.1,61.2,NA,NA
"293",4,4,2,450.7,54.2,47.6,128.1,NA
"294",4,4,3,596,73.6,78.4,NA,176.4
"295",4,10,1,543.4,70.3,67.8,NA,NA
"296",4,10,2,488.4,64.1,56.6,130.3,NA
"297",4,10,3,620.1,79.4,81.1,NA,178.5
"298",4,22,1,529.8,73.5,62.3,NA,NA
"299",4,22,2,458.5,64.5,50,124.5,NA
"300",4,22,3,623.6,85.8,75.9,NA,182.9
"301",4,57,1,515.8,72.5,64.5,NA,NA
"302",4,57,2,445.3,64.9,52.5,114.4,NA
"303",4,57,3,599.2,83.4,77.3,NA,178.9
"304",4,106,1,502.9,61.2,58,NA,NA
"305",4,106,2,458.7,53.4,54.7,130,NA
"306",4,106,3,567.4,73,62.2,NA,170.4
"307",5,1,1,516.7,67.3,61.7,NA,NA
"308",5,1,2,455.5,59.8,50.3,123.8,NA
"309",5,1,3,599.6,78.3,74.7,NA,172.8
"310",5,4,1,508.5,61.7,57.6,NA,NA
"311",5,4,2,452,56.5,46.6,125.2,NA
"312",5,4,3,587.5,69.8,70.4,NA,177.1
"313",5,10,1,549.3,73,68.6,NA,NA
"314",5,10,2,488.3,63.6,59,128.2,NA
"315",5,10,3,632.4,85.9,79.6,NA,178.3
"316",5,22,1,514.4,71,62,NA,NA
"317",5,22,2,448.9,62.3,49.5,120.7,NA
"318",5,22,3,602.7,83.8,76.6,NA,167.2
"319",5,57,1,522.4,76.7,65,NA,NA
"320",5,57,2,466.7,71.6,53.7,122.1,NA
"321",5,57,3,589.7,85.2,76.3,NA,171.1
"322",5,106,1,496.8,57.3,61.8,NA,NA
"323",5,106,2,432.4,46.8,52.1,121.8,NA
"324",5,106,3,585.7,72.2,73.7,NA,163.1
"325",6,1,1,516.7,67.8,61.2,NA,NA
"326",6,1,2,453.9,60.8,49.3,123.1,NA
"327",6,1,3,600.7,78.2,74.7,NA,173.1
"328",6,4,1,506.7,60.8,57.3,NA,NA
"329",6,4,2,451.3,56.9,47,122.5,NA
"330",6,4,3,582.2,67.7,68.5,NA,174.1
"331",6,10,1,543,71.9,68.8,NA,NA
"332",6,10,2,482.2,64.3,58.2,130.8,NA
"333",6,10,3,625.3,82.6,80.6,NA,172
"334",6,22,1,515.6,72.3,60.5,NA,NA
"335",6,22,2,448,62.7,47.9,119,NA
"336",6,22,3,607.4,86.3,75.6,NA,170.3
"337",6,57,1,529.2,78.3,63.1,NA,NA
